id,name,quantity,unit,price,clubcard_price,price_diff,reduction_percent
1000,Tesco Smoked Salmon,100.0,g,3.65,3.0,0.6499999999999999,17.8
49,Tesco Braeburn Apple 5 Pack,5.0,each,1.7,1.4,0.30000000000000004,17.6
2217,Tesco Sweet And Sour Chicken,400.0,g,4.25,3.5,0.75,17.6
1849,Squeaky Bean Ready To Eat Deli Pastrami Sandwich Slice 90G,90.0,g,2.85,2.35,0.5,17.5
1856,Squeaky Bean Ready To Eat Deli Pastrami Sandwich Slice,90.0,g,2.85,2.35,0.5,17.5
1078,Tesco Fish Pie Mix 340G,1.0,340g,4.65,3.85,0.8000000000000003,17.2
1159,Tesco 2 Chocolate Choux Buns,2.0,each,1.75,1.45,0.30000000000000004,17.1
1331,Cathedral City Minis Mature Lighter Cheddar Cheese 6x20G,120.0,g,2.1,1.75,0.3500000000000001,16.7
535,Cathedral City Minis Mature Cheddar Cheese,6.0,x 20g,2.1,1.75,0.3500000000000001,16.7
1090,Tesco Mixed Nuts In Shell,350.0,g,3.0,2.5,0.5,16.7
337,Tesco Family Pack Chestnut Vitamin D Mushrooms,485.0,g,2.1,1.75,0.3500000000000001,16.7
139,Tesco Baby Corn 130G,130.0,g,1.2,1.0,0.19999999999999996,16.7
939,Tesco Finest Rump Steak,255.0,g,5.4,4.5,0.9000000000000004,16.7
1423,Tesco Walnuts In Shell,350.0,g,3.0,2.5,0.5,16.7
1260,Happy Monkey Chocolate Milkshake,3200.0,ml,1.2,1.0,0.19999999999999996,16.7
1883,Happy Monkey Milkshake Strawberry,3200.0,ml,1.2,1.0,0.19999999999999996,16.7
972,Tesco Chestnuts,400.0,g,3.0,2.5,0.5,16.7
1452,Tesco Walnuts,225.0,g,3.0,2.5,0.5,16.7
1192,Tropicana Pineapple Juice,850.0,ml,3.0,2.5,0.5,16.7
2104,Tesco Finest Unsmoked Wiltshire Cured Gammon Steaks,460.0,g,6.0,5.0,1.0,16.7
1895,Tesco Fajita Cooked Chicken Breast Mini Fillets,170.0,g,3.0,2.5,0.5,16.7
2134,Tesco Finest Slow Cooked Whole Lamb Shoulder,1.78,kg,30.0,25.0,5.0,16.7
266,Tesco Tenderstem Broccoli Spears,330.0,,2.4,2.0,0.3999999999999999,16.7
971,Tesco Raspberries,250.0,g,2.9,2.45,0.44999999999999973,15.5
75,Tesco British Chicken Breast Fillets,950.0,g,6.5,5.5,1.0,15.4
1418,Tesco Finest Dry Cured Gammon Joint with a Muscovado Glaze 1kg (Serves 6),1.0,kg,13.0,11.0,2.0,15.4
1945,Tesco Finest Belgian Chocolate Nut Tray,285.0,g,6.25,5.3,0.9500000000000002,15.2
526,Tesco Finest Aberdeen Angus Steak Mince 500G,1.0,unit,5.0,4.25,0.75,15.0
770,Big & Free Large White Free Range Eggs,10.0,,3.35,2.85,0.5,14.9
550,Tesco Finest Sirloin Steak,227.0,g,6.1,5.2,0.8999999999999995,14.8
1046,Innocent Orange Juice With Bits,1.35,litre,4.1,3.5,0.5999999999999996,14.6
420,Innocent Orange Juice Smooth 1.35 Litre,1.35,litre,4.1,3.5,0.5999999999999996,14.6
1782,Innocent Summer Fruits Juice,1.35,l,4.1,3.5,0.5999999999999996,14.6
1145,Innocent Tropical Juice,1.35,litre,4.1,3.5,0.5999999999999996,14.6
1074,Innocent Apple Juice 1.35 Litre,1.0,1.35l,4.1,3.5,0.5999999999999996,14.6
1629,Innocent Apple & Mango Juice,1.35,litre,4.1,3.5,0.5999999999999996,14.6
245,Tesco Sliced Roast Cooked Chicken Breast,180.0,,3.5,3.0,0.5,14.3
763,Tesco Watermelon,,,3.5,3.0,0.5,14.3
290,Trewithen Salted Block Butter,250.0,g,2.9,2.5,0.3999999999999999,13.8
1951,Tesco Finest Madagascan Vanilla Cheesecake,540.0,g,5.5,4.75,0.75,13.6
2101,Tesco Finest Billionaires Cheesecake,500.0,g,5.5,4.75,0.75,13.6
